Wall time,Step,Value
1542189273.3563952,140,1.9582943423301913e-05
1542189273.935074,141,2.0023235265398398e-05
1542189274.5196977,142,2.0264627892174758e-05
1542189275.100419,143,1.9560140572139062e-05
1542189275.703249,144,1.9628456357168034e-05
1542189276.2955694,145,1.9347493434906937e-05
1542189276.9120018,146,1.9855184291373007e-05
1542189277.5061517,147,1.9568820789572783e-05
1542189278.0895445,148,1.94134954654146e-05
1542189278.6724184,149,1.894102206279058e-05
1542189279.2529097,150,1.943013194249943e-05
1542189279.8389463,151,1.9758514099521562e-05
1542189280.4104602,152,1.90202899830183e-05
1542189280.9893208,153,1.8891167201218195e-05
1542189281.559701,154,1.8769220332615077e-05
1542189282.1344457,155,1.81703162525082e-05
1542189282.7082412,156,1.8825716324499808e-05
1542189283.296149,157,1.9393906768527813e-05
1542189283.9009156,158,1.8747054127743468e-05
1542189284.5123463,159,1.8863516743294895e-05
1542189285.1050644,160,1.8524229744798504e-05
1542189285.6947832,161,1.8469392671249807e-05
1542189286.286584,162,1.8267426639795303e-05
1542189286.8835378,163,1.8463333617546596e-05
1542189287.475067,164,1.821184741856996e-05
1542189288.063263,165,1.8744673070614226e-05
1542189288.6536825,166,1.796168726286851e-05
1542189289.243606,167,1.7758946341928095e-05
1542189289.836203,168,1.789881571312435e-05
1542189290.4259405,169,1.8550455934018828e-05
1542189291.023285,170,1.872495522547979e-05
1542189291.6154604,171,1.8738819562713616e-05
1542189292.200454,172,1.7485810531070456e-05
1542189292.7730014,173,1.7604590539122e-05
1542189293.3497589,174,1.751855597831309e-05
1542189293.9185026,175,1.962275564437732e-05
1542189294.4896505,176,1.826672269089613e-05
1542189295.0703378,177,1.8408551113680005e-05
1542189295.6470797,178,1.837739000620786e-05
1542189296.2452974,179,1.7489091987954453e-05
1542189296.8201566,180,1.706572948023677e-05
1542189297.3994691,181,1.8085658666677773e-05
1542189297.9819047,182,1.746474481478799e-05
1542189298.5579474,183,1.7523438145872205e-05
1542189299.1436777,184,1.7722955817589536e-05
1542189299.718672,185,1.7209384168381803e-05
1542189300.301522,186,1.7697526345727965e-05
1542189300.8795888,187,1.8417729734210297e-05
1542189301.4515307,188,1.708257696009241e-05
1542189302.0260575,189,1.742506356094964e-05
1542189302.6019163,190,1.7783950170269236e-05
1542189303.1967723,191,1.7089067114284262e-05
1542189303.7957075,192,1.7470651073381305e-05
1542189304.3875074,193,1.683272967056837e-05
1542189305.0079875,194,1.680642344581429e-05
1542189305.6446993,195,1.701595465419814e-05
1542189306.2632623,196,1.7570419004186988e-05
1542189306.8838282,197,1.6802554455352947e-05
1542189307.502449,198,1.7183823729283176e-05
1542189308.1075687,199,1.648877514526248e-05
1542189308.7067573,200,1.6990275980788283e-05
1542189309.30076,201,1.662629256315995e-05
1542189309.8967705,202,1.6358386346837506e-05
1542189310.501988,203,1.731248266878538e-05
1542189311.1001709,204,1.655766936892178e-05
1542189311.6978002,205,1.6911173588596284e-05
1542189312.2976737,206,1.7161584764835425e-05
1542189312.9041653,207,1.7247233699890785e-05
1542189313.5021677,208,1.7308915630565025e-05
